review,sentiment,tagalog
"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.",0,"Isang napaka, napaka, napaka-mabagal na gumalaw, aimless pelikula tungkol sa isang nababalisa, Pag-anod binata."
"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.",0,"Hindi sigurado kung sino ay mas maraming mawawala - ang flat character o ang madla, halos kalahati ng kanino walked out."
"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.",0,"Sinusubukang artiness na may itim at puti at matalino anggulo ng camera, ang pelikula nabigo - ay naging mas katawa-tawa - bilang ang kumikilos ay mahihirap at ang isang lagay ng lupa at mga linya halos di-umiiral na."
Very little music or anything to speak of.,0,Napakaliit na musika o anumang bagay upang magsalita ng.
The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.,1,Ang pinakamahusay na mga eksena sa pelikula ay kapag Gerardo ay sinusubukan upang mahanap ang isang kanta na patuloy na tumatakbo sa pamamagitan ng kanyang ulo.
"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.",0,"Ang natitira sa ang pelikula ay kulang sining, kagandahan, ibig sabihin ay ... Kung ito ay tungkol sa kawalan ng laman, ito ay gumagana Hulaan ko dahil ito ay walang laman."
Wasted two hours.,0,Nasayang dalawang oras.
"Saw the movie today and thought it was a good effort, good messages for kids.",1,"Nakita ang pelikula ngayon at naisip ito ay isang mahusay na pagsisikap, magandang mensahe para sa mga bata."
A bit predictable.,0,Ang isang bit predictable.
Loved the casting of Jimmy Buffet as the science teacher.,1,Nagustuhan ko ang paghahagis ng Jimmy Buffet bilang ang guro science.
And those baby owls were adorable.,1,At ang mga sanggol owls ay kaibig-ibig.
"The movie showed a lot of Florida at it's best, made it look very appealing.",1,"Ang pelikula ay nagpakita ng isang pulutong ng Florida sa ito ay pinakamahusay na, na ginawa ito hitsura napaka-sumasamo."
The Songs Were The Best And The Muppets Were So Hilarious.,1,Ang Mga Kanta Na Ang Pinakamagandang At Ang Muppets Nagawa Kaya Maingay at masaya.
It Was So Cool.,1,Ito ay kaya cool.
"This is a very ""right on case"" movie that delivers everything almost right in your face.",1,"Ito ay isang napaka-""karapatan sa kasong"" movie na naghahatid ng lahat ng bagay halos karapatan sa iyong mukha."
"It had some average acting from the main person, and it was a low budget as you clearly can see.",0,"Ito ay may ilang mga average kumikilos mula sa pangunahing tao, at ito ay isang mababang badyet habang ikaw ay maaaring malinaw na makita."
"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.",1,"Ang review na ito ay mahaba overdue, dahil isaalang-alang ko ang isang kuwento ng Dalawang Sisters upang maging ang nag-iisang pinakamalaking pelikula kailanman ginawa."
"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.",1,"Kailangan ko bang ilagay ang hiyas na ito up laban sa anumang pelikula sa mga tuntunin ng screenplay, cinematography, kumikilos, post-production, pag-edit, nagdidirekta, o anumang iba pang mga aspeto ng film-making."
"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.",1,"halos Ito ay perpekto sa lahat ng mga ito ng isang tunay na obra maestra sa isang dagat ng peke ""masterpieces."
""" The structure of this film is easily the most tightly constructed in the history of cinema.",1,"""Ang istraktura ng film na ito ay madali ang pinaka-mahigpit constructed sa kasaysayan ng sinehan."
I can think of no other film where something vitally important occurs every other minute.,1,Ako sa tingin ng walang iba pang mga pelikula na kung saan ang isang bagay na napakahalaga ay nangyayari sa bawat iba pang mga minuto.
"In other words, the content level of this film is enough to easily fill a dozen other films.",1,"Sa ibang salita, ang nilalaman na antas ng film na ito ay sapat na upang madaling punan sa isang dosenang iba pang mga pelikula."
How can anyone in their right mind ask for anything more from a movie than this?,1,Paano sinuman sa kanilang karapatan isip ay maaaring hilingin para sa anumang mas mula sa isang pelikula kaysa rito?
"It's quite simply the highest, most superlative form of cinema imaginable.",1,"Ito ay lubos na lamang ang pinakamataas, pinaka superlative form ng cinema mailalarawan sa isip."
